Tamanho do Vetor,Tipo,Tempo(ns),Operações
100,Aleatório,51700,7410
100,Crescente,3300,396
100,Decrescente,105000,15246
200,Aleatório,192100,29248
200,Crescente,6600,796
200,Decrescente,393200,60496
400,Aleatório,778500,116451
400,Crescente,12200,1596
400,Decrescente,209500,240996
600,Aleatório,224700,267218
600,Crescente,2400,2396
600,Decrescente,439200,541496
